time,day,swiggy,zomato,eatsure,eatclub,dominoz,bigBasket,dunzo,zepto,blinkit,others,total deliveries
2022-10-15 0:00:00,sat,4,3,0,2,0,0,0,2,0,0,11
2022-10-15 1:00:00,sat,3,1,0,0,0,0,0,0,0,0,4
2022-10-15 2:00:00,sat,3,1,1,0,0,0,0,0,0,0,5
2022-10-15 3:00:00,sat,2,0,0,0,0,0,0,0,0,0,2
2022-10-15 4:00:00,sat,2,1,0,0,0,0,0,0,0,0,3
2022-10-15 5:00:00,sat,1,0,0,0,0,0,0,0,0,0,1
2022-10-15 6:00:00,sat,0,0,0,0,0,0,0,0,0,0,0
2022-10-15 7:00:00,sat,0,0,0,0,0,2,0,0,0,0,2
2022-10-15 8:00:00,sat,0,0,0,0,1,2,0,3,0,0,6
2022-10-15 9:00:00,sat,0,2,0,0,0,0,1,1,0,0,4
2022-10-15 10:00:00,sat,0,0,0,0,1,0,0,0,0,0,1
2022-10-15 11:00:00,sat,0,0,0,0,0,0,0,1,0,0,1
2022-10-15 12:00:00,sat,5,0,0,0,0,0,2,1,0,0,8
2022-10-15 13:00:00,sat,7,0,0,0,0,0,1,1,0,0,9
2022-10-15 14:00:00,sat,13,3,0,1,0,0,1,0,0,0,18
2022-10-15 15:00:00,sat,11,2,1,1,0,1,0,1,0,0,17
2022-10-15 16:00:00,sat,5,4,0,1,0,1,1,1,1,0,14
2022-10-15 17:00:00,sat,3,1,0,0,0,0,1,2,0,0,7
2022-10-15 18:00:00,sat,4,2,0,1,0,0,1,1,0,0,9
2022-10-15 19:00:00,sat,10,7,0,1,0,2,2,1,1,0,24
2022-10-15 20:00:00,sat,16,11,0,1,1,0,0,1,1,0,31
2022-10-15 21:00:00,sat,15,1,1,0,1,0,0,2,1,0,21
2022-10-15 22:00:00,sat,11,3,0,2,0,0,0,3,0,0,19
2022-10-15 23:00:00,sat,3,3,0,0,0,0,0,4,1,0,11
2022-10-16 0:00:00,sun,4,2,0,0,0,0,0,0,1,0,7
2022-10-16 1:00:00,sun,4,0,0,0,0,0,0,0,0,0,4
2022-10-16 2:00:00,sun,2,0,0,0,0,0,0,0,0,0,2
2022-10-16 3:00:00,sun,0,1,0,0,0,0,0,0,0,0,1
2022-10-16 4:00:00,sun,0,1,0,0,0,0,0,0,0,0,1
2022-10-16 5:00:00,sun,0,0,0,0,0,0,0,0,0,0,0
2022-10-16 6:00:00,sun,0,0,0,0,0,0,0,0,0,0,0
2022-10-16 7:00:00,sun,1,0,0,0,0,1,0,1,0,0,3
2022-10-16 8:00:00,sun,0,0,0,0,0,1,0,2,0,0,3
2022-10-16 9:00:00,sun,0,0,0,0,0,1,2,1,1,0,5
2022-10-16 10:00:00,sun,2,3,0,0,0,0,2,1,0,0,8
2022-10-16 11:00:00,sun,0,1,0,1,0,1,1,0,0,0,4
2022-10-16 12:00:00,sun,16,4,0,2,1,0,1,4,0,0,28
2022-10-16 13:00:00,sun,22,5,0,2,0,1,0,2,2,0,34
2022-10-16 14:00:00,sun,25,7,0,2,0,1,1,2,0,0,38
2022-10-16 15:00:00,sun,24,4,0,4,0,1,0,1,0,0,34
2022-10-16 16:00:00,sun,7,3,1,0,0,2,2,0,0,0,15
2022-10-16 17:00:00,sun,3,0,1,0,0,1,0,1,0,0,6
2022-10-16 18:00:00,sun,8,3,0,0,1,1,0,1,1,0,15
2022-10-16 19:00:00,sun,10,3,0,2,1,1,1,1,0,0,19
2022-10-16 20:00:00,sun,34,11,0,1,1,1,0,0,1,0,49
2022-10-16 21:00:00,sun,32,9,0,0,1,0,0,0,1,0,43
2022-10-16 22:00:00,sun,20,1,0,0,0,0,1,4,0,0,26
