time,swiggy,zomato,Eatsure,Eatclub,Dominoz,BigBasket,Dunzo,zepto,Blinkit,Others,Total deliveries
2022-10-18 17:00:00,4,1,0,0,0,0,0,2,1,0,8
2022-10-18 18:00:00,9,3,0,1,0,2,0,0,0,0,15
2022-10-18 19:00:00,8,3,0,3,0,1,2,2,0,0,19
2022-10-18 20:00:00,16,5,0,0,0,2,2,3,0,0,28
2022-10-18 21:00:00,23,5,1,1,1,0,0,1,0,0,32
2022-10-18 22:00:00,13,2,0,2,0,0,1,1,0,0,19
2022-10-18 23:00:00,17,1,0,1,0,0,1,1,0,0,21
2022-10-19 0:00:00,7,2,0,0,0,0,0,0,0,0,9
2022-10-19 1:00:00,2,1,0,0,0,0,0,0,0,0,3
2022-10-19 2:00:00,1,3,0,0,0,0,0,0,0,0,4
2022-10-19 3:00:00,1,0,0,0,0,0,0,0,0,0,1
2022-10-19 4:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-19 5:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-19 6:00:00,0,0,0,0,0,0,1,0,0,0,1
2022-10-19 7:00:00,2,0,0,0,0,1,0,1,0,0,4
2022-10-19 8:00:00,0,0,0,0,0,1,0,1,0,0,2
2022-10-19 9:00:00,0,0,0,0,0,2,0,2,0,0,4
2022-10-19 10:00:00,1,1,0,0,0,1,1,2,0,0,6
2022-10-19 11:00:00,3,2,0,0,0,0,1,1,0,0,7
2022-10-19 12:00:00,7,3,0,2,0,0,0,0,0,0,12
2022-10-19 13:00:00,16,6,0,0,0,0,1,0,0,3,26
2022-10-19 14:00:00,14,1,0,0,1,1,0,1,0,0,18
2022-10-19 15:00:00,4,3,0,3,0,0,1,0,0,1,12
2022-10-19 16:00:00,6,1,0,2,0,0,0,1,0,0,10
2022-10-19 17:00:00,3,1,0,0,0,0,0,1,0,0,5
2022-10-19 18:00:00,6,0,0,0,0,1,0,0,1,0,8
2022-10-19 19:00:00,7,3,1,1,0,0,0,0,1,0,13
2022-10-19 20:00:00,18,5,0,0,0,0,0,3,0,0,26
2022-10-19 21:00:00,7,3,0,0,0,0,1,2,0,0,13
2022-10-19 22:00:00,14,3,0,0,0,0,0,0,0,0,17
2022-10-19 23:00:00,15,4,0,0,0,0,0,0,0,0,19
2022-10-20 0:00:00,4,3,0,0,0,0,0,0,0,0,7
2022-10-20 1:00:00,2,1,0,0,0,0,0,0,0,0,3
2022-10-20 2:00:00,0,0,0,0,0,0,0,1,0,0,1
2022-10-20 3:00:00,1,0,0,0,0,0,0,0,0,0,1
2022-10-20 4:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-20 5:00:00,0,1,0,0,0,0,0,0,0,0,1
2022-10-20 6:00:00,0,0,0,0,0,0,1,0,0,0,1
2022-10-20 7:00:00,1,0,0,0,0,0,1,0,0,0,2
2022-10-20 8:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-20 9:00:00,0,1,0,0,0,0,0,2,0,0,3
2022-10-20 10:00:00,1,0,0,0,0,0,0,1,0,0,2
2022-10-20 11:00:00,4,0,0,0,0,0,0,1,0,0,5
2022-10-20 12:00:00,7,1,0,0,0,0,2,1,0,0,11
2022-10-20 13:00:00,1,1,0,0,0,0,0,0,0,0,2
2022-10-20 14:00:00,6,3,1,0,0,0,2,3,0,0,15
2022-10-20 15:00:00,7,0,0,2,0,0,1,1,0,0,11
2022-10-20 16:00:00,4,1,0,0,0,1,1,0,1,0,8
2022-10-20 17:00:00,2,1,0,0,0,0,0,2,0,0,5
2022-10-20 18:00:00,4,1,0,0,0,1,1,1,1,0,9
2022-10-20 19:00:00,4,7,0,1,0,1,1,1,1,1,17
2022-10-20 20:00:00,10,5,1,1,1,0,1,2,2,0,23
2022-10-20 21:00:00,11,3,0,1,1,0,0,2,0,0,18
2022-10-20 22:00:00,23,3,0,2,1,0,1,3,0,1,34
2022-10-20 23:00:00,6,1,0,0,0,0,0,1,1,0,9
2022-10-21 0:00:00,8,1,0,0,0,0,1,0,0,0,10
2022-10-21 1:00:00,5,1,1,0,0,0,0,0,0,0,7
2022-10-21 2:00:00,0,1,1,0,0,0,0,0,0,0,2
2022-10-21 3:00:00,1,1,0,0,0,0,0,0,0,0,2
2022-10-21 4:00:00,0,3,0,0,0,0,0,0,0,0,3
2022-10-21 5:00:00,0,1,0,0,0,0,0,0,0,0,1
2022-10-21 6:00:00,0,0,0,0,0,0,1,0,0,0,1
2022-10-21 7:00:00,1,1,0,0,0,1,0,0,0,0,3
2022-10-21 8:00:00,0,0,0,0,0,2,0,1,0,0,3
2022-10-21 9:00:00,2,0,0,0,0,0,0,0,1,0,3
2022-10-21 10:00:00,2,1,0,0,0,1,0,0,0,0,4
2022-10-21 11:00:00,3,1,0,0,0,0,0,1,0,0,5
2022-10-21 12:00:00,8,4,0,2,1,1,2,0,0,0,18
2022-10-21 13:00:00,7,2,0,0,0,0,0,0,2,0,11
2022-10-21 14:00:00,16,4,0,1,0,1,1,0,0,0,23
2022-10-21 15:00:00,4,4,1,2,0,0,0,3,0,0,14
2022-10-21 16:00:00,4,1,0,0,0,0,0,1,0,0,6
2022-10-21 17:00:00,5,0,0,1,0,0,0,2,0,0,8
2022-10-21 18:00:00,4,2,1,0,0,1,1,1,0,0,10
